Sample Index, EXG Channel 0
0,-567554.0
1,-568231.0
2,-567848.0
2,-567693.0
3,-567917.0
3,-567554.0
3,-568231.0
3,-567848.0
4,-567693.0
4,-567917.0
4,-567554.0
5,-568231.0
5,-567848.0
5,-567693.0
5,123456789.0
9,531.0
9,444.0
11,677.0
11,874.0
11,289.0
12,584.0
12,621.0
12,524.0
13,975.0
13,408.0
13,537.0
13,346.0
14,931.0
14,1050.0
14,675.0
15,1372.0
15,721.0
15,984.0
15,1007.0
16,648.0
16,837.0
16,774.0
16,887.0
17,1040.0
17,885.0
17,606.0
18,479.0
18,1050.0
18,1213.0
19,738.0
19,931.0
19,802.0
20,877.0
20,1352.0
20,1111.0
21,1392.0
21,1429.0
22,1410.0
22,1689.0
22,1498.0
23,1223.0
23,1792.0
23,1295.0
24,2032.0
24,1187.0
24,1662.0
25,1025.0
25,984.0
25,1809.0
26,1430.0
26,1881.0
26,1560.0
26,1451.0
27,1704.0
27,1403.0
27,1882.0
28,1233.0
28,1458.0
28,1619.0
28,1510.0
29,1753.0
29,1796.0
29,1235.0
29,2412.0
30,1987.0
30,2108.0
30,2047.0
31,1726.0
31,2051.0
31,1728.0
31,2183.0
32,2264.0
32,1547.0
32,2118.0
32,1393.0
33,2184.0
33,2015.0
33,2016.0
33,2263.0
34,446.0
34,1947.0
35,1478.0
35,1577.0
35,1008.0
36,1141.0
36,1524.0
36,1585.0
37,1298.0
37,1847.0
37,2648.0
38,3349.0
38,4206.0
38,4463.0
39,4908.0
39,4687.0
39,6486.0
40,6887.0
40,7024.0
40,7197.0
41,7382.0
41,8947.0
41,9884.0
42,9361.0
42,9346.0
42,9293.0
43,10306.0
43,10271.0
43,9148.0
43,9735.0
44,8672.0
44,8821.0
44,8324.0
44,8365.0
45,9888.0
45,10169.0
45,11598.0
46,14143.0
46,15080.0
46,16333.0
46,16962.0
47,17163.0
47,18812.0
47,19175.0
47,19764.0
48,18769.0
48,20770.0
48,21703.0
48,22414.0
49,22925.0
49,22322.0
49,19905.0
50,19464.0
50,18707.0
50,17764.0
51,17155.0
51,16620.0
51,16913.0
52,16866.0
52,16177.0
52,15876.0
53,15735.0
53,15616.0
53,15035.0
54,15318.0
54,14683.0
54,14938.0
55,14909.0
55,14384.0
55,14675.0
56,14222.0
56,14195.0
56,14474.0
57,13811.0
57,14398.0
58,14157.0
58,14172.0
58,15707.0
58,16962.0
59,19097.0
59,20270.0
59,20585.0
59,20344.0
60,19573.0
60,19578.0
60,18835.0
61,18574.0
61,18311.0
61,17444.0
61,17791.0
62,16540.0
62,16511.0
62,16196.0
62,15363.0
63,15786.0
63,14925.0
63,14886.0
63,15023.0
64,14476.0
64,14395.0
64,13806.0
64,14133.0
65,14616.0
65,14287.0
65,14774.0
66,14411.0
66,14402.0
66,14875.0
66,14428.0
67,14601.0
67,14010.0
68,13893.0
68,13946.0
68,13489.0
69,13586.0
69,13239.0
69,13384.0
70,13323.0
70,13078.0
70,12745.0
71,12410.0
71,12471.0
71,12108.0
72,11507.0
72,11788.0
72,11797.0
72,11584.0
73,11239.0
73,11222.0
73,11637.0
73,11484.0
74,11691.0
74,11852.0
74,11533.0
75,11730.0
75,11409.0
75,11524.0
76,11741.0
76,11396.0
76,11881.0
76,11192.0
77,11529.0
77,11844.0
77,11019.0
78,11598.0
78,11145.0
78,11146.0
78,11645.0
79,10748.0
79,11835.0
79,12372.0
80,12639.0
80,13646.0
80,13377.0
80,13934.0
81,13645.0
81,13924.0
81,14121.0
81,13456.0
82,13541.0
82,13218.0
82,12939.0
83,13278.0
83,12699.0
83,12524.0
84,12225.0
84,11978.0
84,12001.0
85,11714.0
85,11875.0
85,11736.0
86,11721.0
86,11790.0
86,11327.0
86,11244.0
87,11809.0
87,11650.0
88,11735.0
88,11290.0
88,11687.0
89,11480.0
89,11515.0
89,11708.0
89,11063.0
90,11382.0
90,11247.0
90,11408.0
91,11387.0
91,10752.0
91,11015.0
91,10794.0
92,10927.0
92,11146.0
92,10701.0
92,10600.0
93,10299.0
93,10376.0
93,10569.0
94,9840.0
94,10229.0
94,10014.0
94,9811.0
95,10086.0
95,9425.0
95,9714.0
95,9339.0
96,9544.0
96,9461.0
96,9022.0
96,9627.0
97,9116.0
97,9035.0
97,9500.0
98,9265.0
98,9634.0
98,9269.0
98,9148.0
99,9819.0
99,9224.0
99,9567.0
100,9352.0
100,9015.0
100,9988.0
101,10219.0
101,10790.0
101,10483.0
102,11102.0
102,11549.0
102,11014.0
103,11217.0
103,11338.0
103,11151.0
104,11314.0
104,10557.0
104,10578.0
105,10673.0
105,10686.0
105,10359.0
106,10126.0
106,10285.0
106,9988.0
106,9769.0
107,10082.0
107,9511.0
107,9358.0
107,9551.0
108,9580.0
108,9647.0
108,9352.0
109,9709.0
109,9726.0
109,9911.0
109,9892.0
109,9367.0
110,9610.0
110,9667.0
110,9558.0
111,9977.0
111,9842.0
111,9515.0
111,9838.0
112,9353.0
112,9478.0
112,9541.0
113,9792.0
124,10005.0
133,9702.0
142,10015.0
154,9698.0
162,10011.0
174,9792.0
183,9651.0
195,10630.0
203,9595.0
211,10104.0
224,10403.0
232,9900.0
244,10363.0
252,9956.0
264,10061.0
273,9666.0
285,9073.0
293,9182.0
301,8217.0
314,8456.0
322,8675.0
334,8332.0
342,8273.0
354,7624.0
362,8001.0
375,7406.0
383,6821.0
391,7882.0
404,7383.0
412,7770.0
424,8307.0
432,7908.0
444,8907.0
453,8758.0
465,10279.0
473,13052.0
481,20357.0
494,28718.0
502,44717.0
514,59790.0
522,79499.0
534,101196.0
543,123131.0
551,144576.0
563,135677.0
571,134086.0
584,133649.0
596,133406.0
605,132631.0
613,132034.0
625,132269.0
633,133768.0
645,133425.0
654,132608.0
666,132069.0
674,131976.0
682,133345.0
695,138958.0
703,139105.0
715,138864.0
723,139547.0
735,140130.0
744,141737.0
756,136626.0
764,133027.0
773,132472.0
785,135799.0
793,134904.0
805,133429.0
813,133766.0
826,130775.0
834,128186.0
846,128593.0
854,127780.0
862,127949.0
875,127328.0
883,125961.0
895,125604.0
903,122981.0
915,122656.0
924,122559.0
936,122078.0
944,122043.0
952,119552.0
965,111837.0
973,104620.0
985,99909.0
993,98436.0
1006,96567.0
1014,96212.0
1022,96083.0
1034,95326.0
1043,96279.0
1055,95830.0
1063,94939.0
1075,94946.0
1083,94609.0
1096,94362.0
1104,94055.0
1112,94886.0
1124,96197.0
1133,96342.0
1145,96403.0
1153,96564.0
1165,96745.0
1174,96616.0
1186,96749.0
1194,97004.0
1202,96855.0
1214,97422.0
1223,97551.0
1235,97746.0
1243,98749.0
1255,99418.0
1264,99933.0
1276,100698.0
1284,100841.0
1296,101204.0
1305,101627.0
1317,101984.0
1325,102563.0
1333,102824.0
1345,103347.0
1353,103356.0
1366,103937.0
1374,103332.0
1386,102375.0
1394,102356.0
1406,102047.0
1415,101894.0
1423,101889.0
1435,102024.0
1443,102275.0
1456,102384.0
1464,102419.0
1476,101996.0
1484,101117.0
1493,101412.0
1505,101397.0
1513,101420.0
1525,101743.0
1534,101136.0
1546,101549.0
1554,101586.0
1566,101839.0
1575,102060.0
1583,101395.0
1595,101888.0
1603,101405.0
1616,101066.0
1624,101443.0
1636,100750.0
1644,101035.0
1656,101536.0
1665,101191.0
1673,101728.0
1685,100891.0
1693,101248.0
1706,101295.0
1714,101152.0
1726,101691.0
1734,101034.0
1746,101447.0
1755,101264.0
1763,101133.0
1775,101250.0
1783,100705.0
1796,101198.0
1804,101417.0
1816,101346.0
1824,101519.0
1833,101192.0
1845,101533.0
1853,102034.0
1865,101549.0
1874,101442.0
1886,101105.0
1894,101478.0
1906,101889.0
1914,101710.0
1927,101895.0
1935,101562.0
1947,101835.0
1955,101628.0
1964,101967.0
1976,102388.0
1984,101611.0
1996,101690.0
2005,101979.0
2017,101804.0
2025,101801.0
2037,101340.0
2046,101895.0
2054,101614.0
2066,101785.0
2074,101772.0
2087,101781.0
2095,101732.0
2107,101537.0
2115,101238.0
2127,101447.0
2136,100934.0
2144,101115.0
2156,101182.0
2164,101085.0
2177,101246.0
2185,101043.0
2197,101280.0
2205,101219.0
2217,100924.0
2226,101039.0
2234,100626.0
2246,100801.0
2254,101372.0
2267,100557.0
2275,100708.0
2287,100275.0
2295,100536.0
2304,100455.0
2316,100552.0
2324,101159.0
2336,100678.0
2345,101165.0
2357,101474.0
2365,100733.0
2377,100852.0
2386,101127.0
2394,101092.0
2406,101245.0
2414,100422.0
2427,100629.0
2435,100442.0
2447,99879.0
2455,100626.0
2467,100293.0
2476,100560.0
2528,100301.0
2528,102014.0
2529,104939.0
2529,107270.0
2529,110383.0
2538,112946.0
2546,116625.0
2558,119362.0
2567,120847.0
2579,123054.0
2587,127581.0
2599,131686.0
2607,136411.0
2615,139670.0
2628,145403.0
2636,149772.0
2648,156053.0
2656,160894.0
2668,163973.0
2677,170230.0
2689,174477.0
2697,181494.0
2705,187911.0
2718,196106.0
2726,204069.0
2738,214268.0
2746,221117.0
2758,228866.0
2767,240441.0
2775,249406.0
2787,254843.0
2796,264132.0
2808,279321.0
2816,289326.0
2828,299349.0
2837,308166.0
2849,301595.0
2857,314472.0
2865,308627.0
2877,304526.0
2886,297929.0
2898,302082.0
2906,299349.0
2918,298706.0
2926,298729.0
2938,301710.0
2947,306107.0
2955,300298.0
2967,301631.0
2975,313240.0
2988,311147.0
2996,301906.0
3008,299295.0
3016,297170.0
3029,295069.0
3037,293300.0
3045,290855.0
3057,289846.0
3065,288039.0
3078,286870.0
3086,285331.0
3098,284168.0
3106,283453.0
3115,282146.0
3127,281293.0
3135,279588.0
3147,279209.0
3156,278810.0
3168,277381.0
3176,276644.0
3188,275585.0
3197,275052.0
3205,274781.0
3217,273386.0
3225,273101.0
3238,272128.0
3246,271559.0
3258,271024.0
3266,270241.0
3278,269584.0
3287,269019.0
3299,268042.0
3307,267861.0
3319,266568.0
3328,266591.0
3336,265862.0
3348,265453.0
3356,265318.0
3369,264055.0
3377,264110.0
3389,263081.0
3397,262718.0
3409,262587.0
3418,261488.0
3426,261169.0
3438,260754.0
3446,260417.0
3459,260430.0
3467,259229.0
3479,259522.0
3487,258737.0
3499,258600.0
3508,258703.0
3516,257550.0
3528,257735.0
3537,257036.0
3549,257165.0
3557,256566.0
3569,255721.0
3577,255904.0
3586,255077.0
3598,254802.0
3606,255277.0
3618,254626.0
3627,254671.0
3639,253930.0
3647,253731.0
3659,253668.0
3668,252945.0
3676,253158.0
3688,252785.0
3696,252184.0
3709,252625.0
3717,251726.0
3729,251671.0
3737,251266.0
3749,251157.0
3758,251162.0
3766,250655.0
3778,250372.0
3786,250241.0
3799,249898.0
3807,249939.0
3819,249338.0
3827,249155.0
3839,249062.0
3848,248825.0
3856,249166.0
3869,248323.0
3877,248628.0
3889,248273.0
3897,248220.0
3909,248197.0
3918,247718.0
3930,247553.0
3939,247256.0
3951,247065.0
3959,246934.0
3971,246391.0
3980,246596.0
3988,246301.0
4000,246430.0
4008,246387.0
4020,245996.0
4029,245979.0
4041,245446.0
4049,245239.0
4058,245582.0
4069,244907.0
4078,244990.0
4090,245081.0
4098,244412.0
4110,244201.0
4119,243968.0
4131,244079.0
4139,243854.0
4147,243921.0
4159,243582.0
4168,243075.0
4180,243102.0
4188,243003.0
4200,242936.0
4209,243147.0
4221,242678.0
4229,242695.0
4237,242492.0
4250,241919.0
4258,242258.0
4270,241591.0
4278,241604.0
4290,242127.0
4299,241546.0
4311,241681.0
4319,241348.0
4327,241503.0
4340,241234.0
4348,240821.0
4360,241020.0
4368,240715.0
4381,240712.0
4389,240737.0
4397,240110.0
4409,240699.0
4418,239974.0
4430,240325.0
4438,240558.0
4450,239855.0
4458,239884.0
4471,239901.0
4479,239950.0
4487,240111.0
4499,239776.0
4508,239965.0
4520,239208.0
4528,239535.0
4540,239236.0
4549,239191.0
4561,239026.0
4569,238615.0
4581,238594.0
4590,239049.0
4602,238280.0
4610,238345.0
4618,238046.0
4630,237991.0
4639,238366.0
4651,237821.0
4659,238010.0
4671,238011.0
4680,237956.0
4692,237935.0
4699,237942.0
4709,237979.0
4721,237944.0
4729,237721.0
4741,237876.0
4750,237177.0
4762,237554.0
4770,236967.0
4782,237322.0
4791,236969.0
4799,236260.0
4811,236705.0
4819,236180.0
4831,235933.0
4840,235900.0
4852,235909.0
4860,236304.0
4868,235523.0
4881,235746.0
4889,235931.0
4901,235516.0
4909,236011.0
4922,235144.0
4930,235343.0
4942,235850.0
4950,235149.0
4958,235394.0
4970,234583.0
4978,235320.0
4991,235263.0
4999,234964.0
5011,234991.0
5020,234638.0
5031,234885.0
5040,234876.0
5048,234353.0
5060,234834.0
5069,234183.0
5081,234230.0
5089,234485.0
5101,234094.0
5110,234405.0
5122,233770.0
5130,233509.0
5138,233642.0
5150,233219.0
5159,233650.0
5171,233623.0
5179,233636.0
5191,234047.0
5200,233182.0
5212,233381.0
5220,233082.0
5228,232831.0
5241,233196.0
5253,232851.0
5261,233244.0
5269,232805.0
5281,232594.0
5336,232915.0
5337,233130.0
5337,259969.0
5337,280826.0
5338,286331.0
5339,302362.0
5352,323579.0
5360,316470.0
5372,315667.0
5380,310594.0
5392,319333.0
5401,313966.0
5412,311241.0
5421,313126.0
5429,316133.0
5441,322552.0
5450,320117.0
5462,315324.0
5470,317899.0
5482,314240.0
5490,311571.0
5503,317130.0
5511,319323.0
5519,314526.0
5531,315009.0
5540,314718.0
5552,314577.0
5560,315488.0
5572,312289.0
5581,310460.0
5593,312605.0
5601,310896.0
5609,306697.0
5622,311558.0
5630,310223.0
5642,311068.0
5650,309039.0
5662,310172.0
5671,306617.0
5679,305784.0
5691,307049.0
5699,311624.0
5712,309523.0
5720,308346.0
5732,305749.0
5740,306080.0
5752,307589.0
5761,302242.0
5769,309775.0
5781,311200.0
5789,307339.0
5802,303700.0
5810,304151.0
5822,303812.0
5830,303669.0
5843,303924.0
5851,303093.0
5859,302822.0
5871,302627.0
5879,302344.0
5892,302303.0
5900,301606.0
5912,301699.0
5921,301382.0
5933,300985.0
5941,301368.0
5954,300381.0
5961,300416.0
5974,300361.0
5982,299854.0
5990,299989.0
6003,299384.0
6011,299425.0
6023,299156.0
6031,299089.0
6043,299074.0
6051,298219.0
6064,298288.0
6072,298079.0
6081,297848.0
6093,297853.0
6101,297168.0
6113,297001.0
6121,296826.0
6134,296787.0
6142,296216.0
6150,295855.0
6163,296492.0
6171,296103.0
6183,295936.0
6191,295837.0
6203,295170.0
6212,295381.0
6224,295330.0
6232,294427.0
6240,294730.0
6253,294263.0
6261,294542.0
6273,294241.0
6281,294086.0
6293,294555.0
6301,293856.0
6313,293881.0
6322,293714.0
6330,293573.0
6342,293616.0
6350,292883.0
6363,292852.0
6371,293135.0
6383,292446.0
6391,292651.0
6404,291976.0
6412,292193.0
6420,292274.0
6472,292083.0
6472,290796.0
6472,290351.0
6472,290628.0
6474,290501.0
6482,289776.0
6494,290351.0
6502,289508.0
6510,289733.0
6523,289380.0
6531,289173.0
6543,289384.0
6552,288823.0
6564,289046.0
6572,289101.0
6584,288628.0
6592,289213.0
6605,288558.0
6613,288401.0
6621,288574.0
6634,288457.0
6642,286628.0
6654,286475.0
6662,286480.0
6674,286523.0
6682,286158.0
6694,286527.0
6703,285788.0
6711,286109.0
6724,285872.0
6732,285395.0
6744,285774.0
6752,285209.0
6764,285548.0
6773,285249.0
6785,285284.0
6793,285721.0
6801,284948.0
6814,285169.0
6822,285374.0
6834,284709.0
6842,283342.0
6855,283123.0
6863,283292.0
6875,283239.0
6883,283146.0
6892,283127.0
6904,282728.0
6912,282951.0
6924,283042.0
6932,282423.0
6945,282628.0
6953,282279.0
6961,282428.0
6974,282731.0
6982,282092.0
6994,282361.0
7002,282384.0
7014,282057.0
7023,282516.0
7034,282145.0
7043,280160.0
7051,279615.0
7063,279920.0
7071,280067.0
7084,279978.0
7092,280049.0
7104,279460.0
7112,279715.0
7125,279892.0
7133,279051.0
7141,279782.0
7154,279347.0
7162,279320.0
7174,279307.0
7182,278958.0
7194,279101.0
7203,278972.0
7215,278517.0
7223,278768.0
7235,278629.0
7244,276810.0
7256,276773.0
7264,276898.0
7272,277191.0
7284,276898.0
7293,277207.0
7305,276720.0
7313,276925.0
7325,276858.0
7333,276205.0
7346,277002.0
7354,276679.0
7363,276832.0
7375,276503.0
7383,276296.0
7395,276411.0
7404,275934.0
7415,276015.0
7424,276036.0
7432,275505.0
7444,273966.0
7452,273625.0
7464,273898.0
7473,273919.0
7485,273172.0
7493,273633.0
7505,273216.0
7514,273207.0
7522,273708.0
7535,272999.0
7543,273512.0
7555,272779.0
7563,273358.0
7575,273199.0
7583,273182.0
7595,273181.0
7604,273112.0
7612,273179.0
7625,273274.0
7633,273039.0
7645,271316.0
7653,271049.0
7665,271044.0
7674,271399.0
7686,270724.0
7694,271061.0
7702,270878.0
7715,270645.0
7723,270976.0
7735,270605.0
7743,270954.0
7756,270945.0
7764,270866.0
7776,271331.0
7784,270704.0
7792,270747.0
7804,270682.0
7813,270705.0
7825,270730.0
7833,270241.0
7845,267810.0
7854,267683.0
7866,267756.0
7874,268143.0
7886,267838.0
7895,267887.0
7903,267600.0
7915,267735.0
7923,268030.0
7935,267359.0
7944,267800.0
7956,267761.0
7964,267560.0
7977,267821.0
7985,267574.0
7993,267615.0
8005,267620.0
8013,267841.0
8026,267644.0
8034,267631.0
8046,265602.0
8054,264983.0
8066,265444.0
8075,265273.0
8083,264520.0
8095,265067.0
8103,265008.0
8116,264881.0
8124,265034.0
8136,264711.0
8144,265018.0
8157,264909.0
8165,264720.0
8174,264499.0
8186,264134.0
8194,264779.0
8206,264076.0
8215,264257.0
8227,264820.0
8236,264437.0
8243,260802.0
8255,261047.0
8264,261140.0
8276,261321.0
8284,261174.0
8296,261373.0
8305,261484.0
8317,261131.0
8325,261448.0
8333,261051.0
8345,261400.0
8353,261269.0
8366,260866.0
8374,261261.0
8386,260890.0
8394,261261.0
8407,261434.0
8415,261229.0
8423,261470.0
8435,260899.0
8444,259070.0
8456,258857.0
8465,258530.0
8477,259103.0
8485,258710.0
8497,258743.0
8505,258686.0
8513,258847.0
8525,258808.0
8538,258253.0
8546,258410.0
8554,258529.0
8567,258430.0
8575,258809.0
8587,258290.0
8595,258293.0
8608,258724.0
8616,258559.0
8628,258370.0
8636,258529.0
8644,254122.0
8656,254669.0
8665,254432.0
8677,254941.0
8686,254610.0
8698,254897.0
8706,254512.0
8714,254523.0
8727,254916.0
8735,254517.0
8747,255218.0
8755,255211.0
8768,254826.0
8776,254985.0
8788,254414.0
8796,254651.0
8804,254488.0
8816,254759.0
8825,254592.0
8837,254523.0
8845,252064.0
8857,251797.0
8866,251736.0
8878,252011.0
8887,251762.0
8895,252001.0
8907,252152.0
8915,251683.0
8927,251986.0
8935,251665.0
8948,252258.0
8956,252185.0
8968,252052.0
8976,251939.0
8985,251726.0
8997,251723.0
9005,251752.0
9017,251793.0
9026,252378.0
9038,251665.0
9045,248196.0
9058,248343.0
9066,248048.0
9075,248831.0
9087,248448.0
9095,248415.0
9107,248902.0
9116,248335.0
9128,248816.0
9136,248385.0
9144,248350.0
9156,248685.0
9164,248562.0
9176,248307.0
9185,248474.0
9198,248445.0
9206,248738.0
9218,248185.0
9226,248676.0
9238,247913.0
9246,245526.0
9259,245599.0
9267,245416.0
9275,245953.0
9287,245604.0
9296,245817.0
9308,245756.0
9316,245869.0
9328,245756.0
9336,245551.0
9348,245556.0
9357,245877.0
9365,245416.0
9377,245881.0
9385,245260.0
9398,245739.0
9406,245834.0
9418,245639.0
9427,246078.0
9439,245415.0
9448,241838.0
9456,242171.0
9468,242132.0
9476,242747.0
9488,242390.0
9496,242529.0
9509,242764.0
9517,241987.0
9525,242478.0
9538,242211.0
9546,242500.0
9558,242791.0
9566,242380.0
9578,242661.0
9586,242456.0
9598,242481.0
9607,243128.0
9615,242841.0
9627,243006.0
9635,242519.0
9648,239936.0
9656,240343.0
9668,239684.0
9676,240379.0
9689,240122.0
9697,240199.0
9705,240344.0
9718,239735.0
9726,240176.0
9738,240297.0
9746,240272.0
9759,240609.0
9767,240006.0
9779,239957.0
9787,240142.0
9795,240491.0
9807,240880.0
9816,239979.0
9828,240478.0
9837,240181.0
9849,236378.0
9857,236753.0
9869,236496.0
9877,236671.0
9889,236844.0
9898,236621.0
9909,237032.0
9918,237031.0
9926,236740.0
9939,236617.0
9947,236874.0
9959,236947.0
9967,236652.0
9980,237219.0
9988,237086.0
9996,236709.0
10008,237086.0
10017,236619.0
10030,237026.0
10037,236797.0
10049,234546.0
10058,234631.0
10070,234612.0
10078,234761.0
10087,234712.0
10098,234737.0
10106,234964.0
10119,234433.0
10127,234782.0
10139,234739.0
10148,234818.0
10159,234965.0
10168,234366.0
10176,234775.0
10189,234840.0
10197,234749.0
10209,235114.0
10217,234757.0
10230,234778.0
10238,234847.0
10249,230532.0
10258,231253.0
10266,230508.0
10278,231053.0
10286,231092.0
10299,231127.0
10307,231516.0
10319,230913.0
10327,231540.0
10340,231379.0
10348,231524.0
10356,231919.0
10368,231430.0
10377,231511.0
10389,231486.0
10398,231163.0
10410,231566.0
10418,231227.0
10426,231704.0
10438,231939.0
10446,228666.0
10458,229053.0
10467,228650.0
10480,228793.0
10488,229008.0
10500,228793.0
10508,229008.0
10520,228593.0
10528,228854.0
